chain_clean,year,avg_rating,review_vol,neg_share,AvgLikes,VarRating,revenue,cp_index,income_pop,FemaleShare,avg_sentiment,search_index
l'occitane,2015.0,4.617021276595745,47,0.0425531914893617,3.8297872340425534,0.8936170212765957,3.14,112.9,97.6,0.5367,0.03757951266553419,4.916666666666667
l'occitane,2016.0,4.3313953488372094,172,0.10465116279069768,2.302325581395349,1.8018155854753173,3.37,105.4,95.5,0.5366,0.04703259217281249,4.666666666666667
l'occitane,2017.0,4.0,20,0.15,15.15,2.1052631578947363,3.57,105.27,99.5,0.5364,0.07222260656566912,4.916666666666667
l'occitane,2018.0,3.880952380952381,42,0.21428571428571427,2.6666666666666665,2.595238095238095,3.76,101.62,100.7,0.5361,0.033527596316051844,5.333333333333333
l'occitane,2019.0,4.1735537190082646,121,0.12396694214876033,4.090909090909091,1.8946280991735536,4.2,104.98,101.2,0.5359,0.06565647432361718,5.833333333333333
l'occitane,2020.0,4.211111111111111,270,0.08888888888888889,2.8740740740740742,1.6615861214374223,5.39,102.29,98.0,0.5358,0.08161333711329903,5.5
l'occitane,2021.0,3.8565573770491803,244,0.20081967213114754,3.5778688524590163,2.7077346016325956,5.4,106.1,103.3,0.5355,0.052157901066949335,5.583333333333333
l'occitane,2022.0,3.9934640522875817,306,0.17973856209150327,2.6437908496732025,2.531104682310083,5.85,110.0,104.5,0.5349,0.05911645391246692,5.833333333333333
l'occitane,2023.0,4.3040201005025125,398,0.09045226130653267,2.135678391959799,1.7083465184866389,7.25,111.15,106.1,0.5352,0.05980661792164873,5.75
l'occitane,2024.0,4.258947368421053,475,0.11789473684210526,1.2021052631578948,1.9728891849877845,8.19,107.21,107.3,0.5353,0.06012841049321206,5.916666666666667
yves rocher,2015.0,4.258426966292135,178,0.0898876404494382,5.96067415730337,1.639052878816734,7.3,112.9,97.6,0.5367,0.026630580980166144,41.5
yves rocher,2016.0,3.75,144,0.16666666666666666,5.208333333333333,2.3846153846153855,7.54,105.4,95.5,0.5366,0.01841332217886886,41.166666666666664
yves rocher,2017.0,4.122222222222222,180,0.13333333333333333,6.111111111111111,2.0520173805089996,7.98,105.27,99.5,0.5364,0.0313038600874285,39.75
yves rocher,2018.0,4.226351351351352,296,0.10135135135135136,7.648648648648648,1.694354099862575,8.54,101.62,100.7,0.5361,0.05384700707595283,41.666666666666664
yves rocher,2019.0,4.259510869565218,736,0.08152173913043478,3.96875,1.5747393522626445,8.36,104.98,101.2,0.5359,0.06044526298673627,39.75
yves rocher,2020.0,4.3708791208791204,1456,0.07417582417582418,3.1126373626373627,1.4059967523885053,6.87,102.29,98.0,0.5358,0.07032900522977675,37.083333333333336
yves rocher,2021.0,4.3835155592935235,2378,0.09714045416316232,2.355761143818335,1.6332493941625204,7.2,106.1,103.3,0.5355,0.06790198066786504,41.0
yves rocher,2022.0,4.6066565809379725,2644,0.06921331316187594,1.9330559757942511,1.1944467817538738,7.06,110.0,104.5,0.5349,0.0691584178129558,27.5
yves rocher,2023.0,4.532967032967033,2366,0.07734573119188504,1.433643279797126,1.3585321655089095,7.48,111.15,106.1,0.5352,0.06773865691466226,24.75
yves rocher,2024.0,4.489352640545145,2348,0.08858603066439523,0.6878194207836457,1.5179948086977553,7.53,107.21,107.3,0.5353,0.061772122021490676,19.416666666666668
золотое яблоко,2015.0,3.9279279279279278,111,0.16216216216216217,6.936936936936937,2.449303849303848,11.0,112.9,97.6,0.5367,0.04819047551097239,6.583333333333333
золотое яблоко,2016.0,4.2902374670184695,379,0.1266490765171504,0.8891820580474934,2.000195446105737,13.0,105.4,95.5,0.5366,0.05745740294737658,6.833333333333333
золотое яблоко,2017.0,3.175675675675676,444,0.3761261261261261,2.024774774774775,3.4634250503325035,14.6,105.27,99.5,0.5364,0.030529396265883604,7.75
золотое яблоко,2018.0,3.4,265,0.3132075471698113,5.958490566037736,3.248484848484849,15.2,101.62,100.7,0.5361,0.0288182266124459,9.166666666666666
золотое яблоко,2019.0,3.874285714285714,525,0.15047619047619049,5.617142857142857,2.2169901853871306,16.8,104.98,101.2,0.5359,0.05380266960285243,19.083333333333332
золотое яблоко,2020.0,3.938728323699422,865,0.15375722543352602,4.090173410404624,2.2473988439306343,22.4,102.29,98.0,0.5358,0.06365398381930712,38.333333333333336
золотое яблоко,2021.0,3.5238095238095237,966,0.2712215320910973,4.280538302277432,3.039328892178636,40.5,106.1,103.3,0.5355,0.04155421761900426,35.916666666666664
золотое яблоко,2022.0,3.7475872308834446,1347,0.23311061618411286,3.33184855233853,2.8560027180537673,62.7,110.0,104.5,0.5349,0.0541731570716533,45.25
золотое яблоко,2023.0,3.8946015424164524,2723,0.19206757253029746,2.487330150569225,2.5961611471982105,93.5,111.15,106.1,0.5352,0.058983717215152,57.0
золотое яблоко,2024.0,3.7300963941449483,2801,0.23313102463405927,1.535166012138522,2.883554597847705,155.5,107.21,107.3,0.5353,0.04918689908827879,71.66666666666667
